Date (yyyy),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
1892,8.771890112247484e-08,4.277760728166608e-07,8.793690713263133e-08,0.13410416451845988,0.03650808235530948,9.244520203121498,7.66389086657944,0.13415275016195188,0.05511266882201226,0.18926541877859263
1893,8.883387837581659e-08,4.2993810477912356e-07,9.14847712316254e-08,0.13573906870614164,0.038186420769002666,9.533991164769937,8.003754959642626,0.13086555973951197,0.056135314600758206,0.18700087429092835
1894,8.865994359054513e-08,4.280800472695178e-07,8.904606833945692e-08,0.13477543834008146,0.03705721904457126,9.456956060686645,7.737392297297769,0.1327016416462315,0.05574405094980405,0.18844569191711835
1895,8.772142470504874e-08,4.309370840593872e-07,8.855377528040661e-08,0.1358995965375504,0.03660482034963724,9.13926431316177,7.576286399569966,0.13631639372905152,0.05629431099209337,0.19261070468533645
1896,9.436227203721567e-08,4.4685284135201974e-07,9.153631433275653e-08,0.1350593405295639,0.03597247442629842,9.919685645870006,7.933258342822423,0.13318462610531454,0.05491506747503172,0.1880996939754308
1897,8.86206094867892e-08,4.30572864043753e-07,8.721924198643135e-08,0.1358196160261599,0.0362817642496822,9.564205611331953,7.997366349003431,0.1307901518814691,0.05625715059100123,0.1870473024664411
1898,8.127558100285892e-08,4.1326071287494726e-07,7.940010058017446e-08,0.12812460643319587,0.032671555904733106,9.800175922480678,8.33117763144857,0.1258017848997116,0.0536659975717789,0.17946778263131133
1899,8.348631620494616e-08,4.1917079788219095e-07,8.195822027497343e-08,0.12927709159085723,0.033369570465975426,10.269664965701182,8.71306338990672,0.12510155852311353,0.053625614767209735,0.17872717325247078
1900,8.765004310279418e-08,4.2690029931067577e-07,8.619754313229177e-08,0.1363199983461442,0.03596462164979279,9.217674416895708,7.780610847825099,0.1347875106108749,0.05544768586253526,0.19023519699170774
1901,9.01636538937028e-08,4.4546343213757803e-07,8.967344987121092e-08,0.1312704621677321,0.03460680819159641,10.124855020061426,8.307927816340838,0.12957368135075173,0.05491168613404829,0.18448536774348778
