Date (yyyy.mm),expc-bot (mol m-2 s-1),intpp (mol m-2 s-1),intppdiat (mol m-2 s-1),phyc-vint (mol m-2),phydiat-vint (mol m-2),tos (degC),tob (degC),zmeso-vint (mol m-2),zmicro-vint (mol m-2),zooc-vint (mol m-2)
2039.06,1.8152459932650005e-07,9.768141380184329e-07,1.5534766308078788e-07,0.21837840402247008,0.04812277558166843,11.09074607276159,7.125630653827824,0.24629136691497303,0.09340774481857718,0.33969911202692765
2039.07,1.548035597982645e-07,7.826122748298952e-07,1.2079922686808724e-07,0.18074873390238524,0.038005567897493375,14.348809317616274,8.169319606877094,0.22443189982387118,0.08030354989688428,0.3047354502742416
2039.08,1.2145521751531393e-07,6.201614657240587e-07,1.0292214092426229e-07,0.1494435098206446,0.03278577578227843,14.600150081603926,9.259709613788088,0.18918410647088427,0.06830626815708565,0.25749037620787424
2039.09,8.752077646049629e-08,4.1578212792030476e-07,7.10044401763763e-08,0.12679489336003424,0.028646359789472834,13.127827146785446,10.015807178543993,0.15898506603472595,0.058037909430639974,0.21702297506418325
2039.10,5.712174152018752e-08,2.2608310289409659e-07,4.093983858580325e-08,0.09250000191992194,0.022389315252371866,11.931598328196468,10.201660605809963,0.13279722231072327,0.04606922088750316,0.17886644328061946
2039.11,2.0471239901749084e-08,7.321174770715324e-08,8.2135094463303e-09,0.05468190859749685,0.010606986267236123,10.098275744240137,9.596085390226264,0.0880371286083233,0.028879498365689524,0.11691662756816497
2039.12,1.0423475652845288e-08,3.277916816471793e-08,3.0020338465972935e-09,0.034810445039632154,0.005565398442199929,8.066254454255438,8.287940024556747,0.059087218296450326,0.019448947272351608,0.07853616589389893
2040.01,8.85584196808296e-09,5.257824950191594e-08,5.041080243492275e-09,0.0400721720651653,0.005534066115737591,6.234255728585051,6.725459478261514,0.04342465986480051,0.01701570029623893,0.06044035996071958
2040.02,2.4777644436273062e-08,1.692284501179646e-07,2.3741916158708343e-08,0.09347377766565242,0.016084238808944825,5.7639995607126195,6.1059013642508475,0.03919808871121183,0.031507237752133536,0.07070532696706493
2040.03,7.2000770077686e-08,3.4898808955876255e-07,7.482055446549248e-08,0.1612593998015263,0.04004076689982714,6.107701417617973,6.275274596253197,0.06298008595947201,0.06134312784065122,0.12432321448156257
2040.04,1.2315227210064143e-07,6.413795303177212e-07,1.3054660677037563e-07,0.20259442109536618,0.05646629984513926,6.948751293183114,6.562807214467802,0.1338699440632891,0.08078980853418387,0.2146597547411411
2040.05,1.7718561011643725e-07,8.604507461622641e-07,1.580351183272444e-07,0.22203757318589765,0.05841417333931847,9.390240887481045,7.203987334532352,0.2033858496383466,0.09102832296393745,0.2944141696672848
2040.06,1.7017527992780673e-07,9.347314053049749e-07,1.444112217798582e-07,0.20179222193595833,0.04332259454028138,12.335592951831904,8.05699959701614,0.22513277843934457,0.08551571374614056,0.3106484929294135
2040.07,1.4812719103407176e-07,7.697693172358472e-07,1.114493546744812e-07,0.1743634628423893,0.03463383701217483,15.163275886706623,9.127140456133105,0.20937129788982153,0.07627547606679323,0.28564677427501706
2040.08,1.1948998477104966e-07,6.196053304199352e-07,9.323575016294963e-08,0.14639330337331416,0.030113180660186985,16.63720349231225,10.188591970730615,0.17848808555532591,0.06901899873799797,0.24750708525380333
2040.09,8.244540386075742e-08,4.179494196212745e-07,6.46972491735174e-08,0.11442169751279234,0.0240656046530898,15.183980446072194,10.956557015742371,0.14618976013635812,0.055974489481363375,0.20216424978412517
2040.10,5.060203859688106e-08,2.196734824981656e-07,3.5225919347231764e-08,0.08595677589771292,0.019270114083467245,13.4384797679284,11.163590093378096,0.1166578296391885,0.04243824027552218,0.15909607033348377
2040.11,2.0260449439572187e-08,7.188468314524677e-08,8.426733230454655e-09,0.054657759639990006,0.01055381915072114,11.28767789942745,10.53471861307578,0.07938101225694848,0.02799704873170799,0.10737806030950262
2040.12,9.511420533117231e-09,2.7301830216240676e-08,1.9019190928093716e-09,0.031279605517372966,0.0045832749476904045,9.710447319536488,9.385212283888308,0.05184992519243598,0.017451308304948482,0.06930123325251476
2041.01,7.957861017803348e-09,5.438077265182903e-08,4.128785722751417e-09,0.03819680916940096,0.004338660785839916,8.055246420362245,8.127588681285708,0.03673573148347486,0.014708336331844834,0.05144406773618877
2041.02,2.121625616505742e-08,1.5952402880407135e-07,2.0031374711921057e-08,0.0865978404150119,0.012914386424425117,7.220042769661562,7.334853449969214,0.03293393185484268,0.02846369730925299,0.06139762960898045
2041.03,7.953809686196412e-08,3.8270631386564436e-07,8.664153874559668e-08,0.16813316847446166,0.042917903347558684,6.3972733474884365,6.897156460007335,0.060323602551492064,0.05970030548390865,0.12002390752776601
2041.04,1.2005780185481024e-07,5.514705890286094e-07,1.1769519886771789e-07,0.20021614199447088,0.057142034740561946,6.805530937732671,6.773851169973162,0.12778999591441992,0.0760155493812751,0.2038055438242805
2041.05,1.7037171202199808e-07,7.785567745678764e-07,1.5845196981380624e-07,0.22272590435600464,0.06394868512768834,8.908636591096776,7.578631749213669,0.184588861286353,0.0891650697190672,0.27375392984819846
2041.06,1.5723601889738626e-07,9.331470662911353e-07,1.3739819116704758e-07,0.20499463780687685,0.04346976764999448,11.904708855798132,8.514810910712729,0.21914618765654453,0.08522836938619603,0.3043745551457952
2041.07,1.3735813198537935e-07,7.913589100047615e-07,1.0869221110472774e-07,0.17661759945105496,0.034246590075380716,14.41288973356499,9.442738009552418,0.20521911988288255,0.07733163656045974,0.28255075495396514
